Design,Thrower,Distance
B,J,228
B,J,598.5
B,J,132
B,J,333
B,J,358.5
B,N,168
B,N,236.5
B,N,418.5
B,N,530
B,N,198.5
B,R,286
B,R,364
B,R,557
B,R,225
B,R,375
B,C,285
B,C,439.5
B,C,270
B,C,53
B,C,515
B,B,405
B,B,91.5
B,B,160
B,B,428
B,B,601
A,C,295.5
A,C,289
A,C,353
A,C,341.5
A,C,375.5
A,R,403
A,R,477
A,R,446
A,R,336
A,R,512
A,N,250
A,N,245
A,N,244
A,N,183
A,N,211.5
A,B,251
A,B,323
A,B,360
A,B,339
A,B,331
A,J,397
A,J,368
A,J,405
A,J,605.5
A,J,411
C,N,185
C,N,236
C,N,354
C,N,413
C,N,416
C,C,414
C,C,119
C,C,77
C,C,127
C,C,378
C,B,234
C,B,194
C,B,448
C,B,238
C,B,533
C,J,378
C,J,515
C,J,527
C,J,549
C,J,136
C,R,289
C,R,376
C,R,212
C,R,426
C,R,172
